Supercharger	Street Address	City	State	Zip	Country	Stalls	kW	GPS	Elev(m)	Status	Open Date	Links
Tucumcari, NM	2624 South Adams St	Tucumcari	NM	88401	USA	6	150	35.153963, -103.722539	1253	OPEN	2015-04-21	gmap | forum | tesla
Mobile, AL	3201 Airport Blvd	Mobile	AL	36606	USA	8	150	30.671556, -88.118644	6	OPEN	2015-04-16	gmap | forum | tesla
Syracuse, NY	439 Electronics Parkway,	Liverpool	NY	13088	USA	8		43.102516, -76.187475	123	OPEN	2015-04-16	gmap | forum | tesla
St. Charles, MO	2021 Zumbehl Rd	St. Charles	MO	63303	USA	5	150	38.782139, -90.532862	149	OPEN	2015-04-15	gmap | forum | tesla
Perry, OK	2812 Fir St	Perry	OK	73077	USA	6	150	36.289315, -97.325935	330	OPEN	2015-04-15	gmap | forum | tesla
Tremonton, UT	Hampton Inn 2145 W Main St	Tremonton	UT	84337	USA	6	150	41.70995, -112.198576	1317	OPEN	2015-04-01	gmap | forum | tesla
Effingham, IL	1200 North Keller Dr	Effingham	IL	62401	USA	6	150	39.137048, -88.563736	184	OPEN	2015-03-28	gmap | forum | tesla
Mojave, CA	Anthony's Grill 16940 California 14 Hwy 14	Mojave	CA	93501	USA	6	150	35.068595, -118.174576	866	OPEN	2015-03-27	gmap | forum | tesla
Inyokern, CA	1353 Brown Rd	Inyokern	CA	93527	USA	4	150	35.646461, -117.812629	742	OPEN	2015-03-20	gmap | forum | tesla
Santa Rosa, NM	2516 Historic Rt 66	Santa Rosa	NM	88435	USA	6	150	34.947013, -104.647997	1440	OPEN	2015-03-13	gmap | forum | tesla
Ardmore, OK	322 Holiday Dr	Ardmore	OK	73401	USA	6	150	34.179106, -97.165632	259	OPEN	2015-03-13	gmap | forum | tesla
Weatherford, OK	1301 N Airport Rd by Lucille's Roadhouse	Weatherford	OK	73096	USA	6	150	35.53859, -98.66012	485	OPEN	2015-03-11	gmap | forum | tesla
Council Bluffs, IA	3815 Metro Dr	Council Bluffs	IA	51501	USA	8	150	41.220935, -95.835622	299	OPEN	2015-03-11	gmap | forum | tesla
Salt Lake City, UT	2312 South State St	South Salt Lake City	UT	84115	USA	10	150	40.720353, -111.888706	1297	OPEN	2015-03-06	gmap | forum | tesla
Coeur d'Alene, ID	3458 N Fruitland Ln	Coeur d'Alene	ID	83815	USA	6	150	47.708479, -116.794283	685	OPEN	2015-03-04	gmap | forum | tesla
Charlotte, NC	2720 Mallard Creek Church RD	Charlotte	NC	28262	USA	8	150	35.341213, -80.766023	232	OPEN	2015-02-25	gmap | forum | tesla
Tooele, UT	1568 East Saddleback Blvd	Tooele	UT	84074	USA	6	150	40.684486, -112.268818	1290	OPEN	2015-02-25	gmap | forum | tesla
Rocklin (SC), CA	4361 Granite Dr	Rocklin	CA	95677	USA	18	150	38.800537, -121.210485	98	OPEN	2015-02-20	gmap | forum | tesla
Shamrock, TX	107 East 12th St	Shamrock	TX	79079	USA	6	150	35.226765, -100.24836	704	OPEN	2015-02-20	gmap | forum | tesla
Winnemucca, NV	1985 W Winnemucca Blvd	Winnemucca	NV	89445	USA	6	150	40.958847, -117.746497	1308	OPEN	2015-02-18	gmap | forum | tesla
Independence, MO	18001 Bass Pro Dr	Independence	MO	64055	USA	6	150	39.040814, -94.369265	245	OPEN	2015-02-17	gmap | forum | tesla
West Springfield, MA	935 Riverdale St	West Springfield	MA	01089	USA	8		42.130914, -72.621435	17	OPEN	2015-02-14	gmap | forum | tesla
Manteca, CA	960 Perimeter Dr	Manteca	CA	95337	USA	20	150	37.782622, -121.228683	9	OPEN	2015-02-12	gmap | forum | tesla
Utica, NY	50 Auert Ave	Utica	NY	13501	USA	8		43.113878, -75.206857	128	OPEN	2015-02-11	gmap | forum | tesla
London, KY	140 Faith Assembly Church Rd	London	KY	40741	USA	6	150	37.14916, -84.11385	361	OPEN	2015-02-04	gmap | forum | tesla
Elko, NV	2755 Mountain City Hwy	Elko	NV	89801	USA	6	150	40.836301, -115.790859	1574	OPEN	2015-02-03	gmap | forum | tesla
Petaluma, CA	401 Kenilworth Dr #1030	Petaluma	CA	94952	USA	20	150	38.242693, -122.625049	8	OPEN	2015-02-03	gmap | forum | tesla
Lexington, KY	2155 Paul Jones Way	Lexington	KY	40509	USA	8	150	38.017955, -84.420664	310	OPEN	2015-01-30	gmap | forum | tesla
Lovelock, NV	150 Main St	Lovelock	NV	89419	USA	4	150	40.179476, -118.472135	1213	OPEN	2015-01-28	gmap | forum | tesla
Lone Pine, CA	701 S Main St	Lone Pine	CA	93545	USA	8	250	36.60059, -118.061916	1137	OPEN	2015-01-28	gmap | forum | tesla
Baton Rouge, LA	3535 Perkins Rd	Baton Rouge	LA	70808	USA	6	150	30.423892, -91.154637	10	OPEN	2015-01-22	gmap | forum | tesla
West Wendover, NV	810 Wendover Blvd	West Wendover	NV	89883	USA	6	150	40.738399, -114.058998	1335	OPEN	2015-01-22	gmap | forum | tesla
Wichita, KS	4760 S Broadway St	Wichita	KS	67216	USA	6	150	37.60878, -97.33314	388	OPEN	2015-01-21	gmap | forum | tesla
Hooksett (north), NH	Interstate 93 N	Hooksett	NH	03106	USA	10	150	43.109587, -71.474575	90	OPEN	2015-01-20	gmap | forum | tesla
Redondo Beach, CA	2410 Marine Ave	Redondo Beach	CA	90278	USA	8	150	33.894294, -118.367379	21	OPEN	2015-01-20	gmap | forum | tesla
Needles, CA	2451 Needles Hwy	Needles	CA	92363	USA	4	150	34.850835, -114.624329	157	OPEN	2015-01-16	gmap | forum | tesla
Brattleboro, VT	499 Canal St	Brattleboro	VT	05301	USA	8		42.838443, -72.565798	129	OPEN	2015-01-16	gmap | forum | tesla
Grove City, OH	2221 Stringtown Rd	Grove City	OH	43123	USA	8		39.877253, -83.063448	243	OPEN	2015-01-16	gmap | forum | tesla
Hooksett (south), NH	Interstate 93 S	Hooksett	NH	03106	USA	12	150	43.108363, -71.477625	95	OPEN	2015-01-15	gmap | forum | tesla
DeFuniak Springs, FL	10th St and Baldwin Ave	DeFuniak Springs	FL	32435	USA	5	150	30.720702, -86.116677	76	OPEN	2015-01-09	gmap | forum | tesla
Springfield, IL	3801 South MacArthur Blvd	Springfield	IL	62711	USA	8		39.748868, -89.67119	184	OPEN	2015-01-09	gmap | forum | tesla
Auburn, MA	385 Southbridge St	Auburn	MA	01501	USA	8		42.203764, -71.832954	154	OPEN	2014-12-29	gmap | forum | tesla
El Centro, CA	3451 S Dogwood Rd	El Centro	CA	92243	USA	8	150	32.760837, -115.532486	-8	OPEN	2014-12-28	gmap | forum | tesla
Auburn, AL	1627 Opelika Rd	Auburn	AL	36830	USA	6		32.627837, -85.445105	222	OPEN	2014-12-23	gmap | forum | tesla
Lima, OH	1933 Roschman Ave	Lima	OH	45804	USA	8		40.726668, -84.071932	271	OPEN	2014-12-23	gmap | forum | tesla
Lake Charles, LA	1772 W Prien Lake Rd	Lake Charles	LA	70601	USA	6	150	30.199071, -93.248782	3	OPEN	2014-12-21	gmap | forum | tesla
Atlanta, GA	1380 Atlantic Dr	Atlanta	GA	30363	USA	10	150	33.793808, -84.397203	268	OPEN	2014-12-18	gmap | forum | tesla
Culver City, CA	6000 Hannum Ave	Culver City	CA	90230	USA	16	150	33.986779, -118.390213	13	OPEN	2014-12-18	gmap | forum | tesla
Cabazon, CA	48400 Seminole Dr	Cabazon	CA	92230	USA	16	150	33.93129, -116.820041	620	OPEN	2014-12-17	gmap | forum | tesla
Greenville, AL	219 Interstate Dr	Greenville	AL	36037	USA	6		31.855989, -86.635765	145	OPEN	2014-12-06	gmap | forum | tesla
Superior, MT	205 E 4th Ave	Superior	MT	59872	USA	4	150	47.192149, -114.888901	835	OPEN	2014-12-05	gmap | forum | tesla
West Hartford, CT	1445 New Britain Ave	West Hartford	CT	06110	USA	8	150	41.722672, -72.759717	52	OPEN	2014-12-05	gmap | forum | tesla
Butte, MT	2900 Harrison Ave	Butte	MT	59701	USA	6	150	45.981226, -112.507161	1666	OPEN	2014-12-04	gmap | forum | tesla
Fort Drum, FL	184 Florida's Turnpike	Okeechobee	FL	34972	USA	10	150	27.601444, -80.822187	16	OPEN	2014-11-26	gmap | forum | tesla
Primm, NV	31900 Las Vegas Blvd S	Primm	NV	89019	USA	10	150	35.610687, -115.388028	795	OPEN	2014-11-26	gmap | forum | tesla
Paramus, NJ	530 New Jersey 17	Paramus	NJ	07652	USA	8	150	40.957429, -74.07408	15	OPEN	2014-11-26	gmap | forum | tesla
Turkey Lake, FL	Turkey Lake Service Plaza	Turkey Lake	FL	32835	USA	6	150	28.514874, -81.500214	1	OPEN	2014-11-21	gmap | forum | tesla
Rancho Cucamonga, CA	12505 North Main St	Rancho Cucamonga	CA	91739	USA	12	150	34.113592, -117.529406	381	OPEN	2014-11-20	gmap | forum | tesla
Decatur (SC), GA	1580 Church St	Decatur	GA	30033	USA	4	120	33.793217, -84.285379	310	OPEN	2014-11-20	gmap | forum | tesla
Dayton, OH	9200 N Main St	Dayton	OH	45445	USA	8	150	39.858702, -84.277027	257	OPEN	2014-11-11	gmap | forum | tesla
Denver, CO	4310 Airport Way	Denver	CO	80239	USA	6	150	39.775259, -104.794674	1641	OPEN	2014-11-08	gmap | forum | tesla
Country Club Hills, IL	4201 167th St	Country Club Hills	IL	60478	USA	8	150	41.584927, -87.721062	205	OPEN	2014-11-08	gmap | forum | tesla
Salisbury, MD	2300 North Salisbury Blvd	Salisbury	MD	21801	USA	6		38.401648, -75.564818	12	OPEN	2014-11-08	gmap | forum | tesla
Ocala, FL	4414 SW College Rd	Ocala	FL	34474	USA	8		29.140985, -82.19395	23	OPEN	2014-11-03	gmap | forum | tesla
Indianapolis, IN	5120 Victory Dr	Indianapolis	IN	46203	USA	8	150	39.702444, -86.079687	253	OPEN	2014-10-30	gmap | forum | tesla
Missoula, MT	5280 Grant Creek Rd	Missoula	MT	59808	USA	6	150	46.914375, -114.031924	1009	OPEN	2014-10-29	gmap | forum | tesla
Sagamore Beach, MA	22 Meetinghouse Ln	Sagamore Beach	MA	02562	USA	8		41.781242, -70.540271	26	OPEN	2014-10-27	gmap | forum | tesla
Bozeman, MT	2023 Commerce Way	Bozeman	MT	59715	USA	4	150	45.700078, -111.062569	1442	OPEN	2014-10-23	gmap | forum | tesla
Big Timber, MT	228 Big Timber Loop Rd	Big Timber	MT	59011	USA	4	150	45.836201, -109.943317	1246	OPEN	2014-10-22	gmap | forum | tesla
Topeka, KS	5930 Huntoon St	Topeka	KS	66614	USA	8	150	39.044199, -95.76046	283	OPEN	2014-10-17	gmap | forum | tesla
Cordes Lakes, AZ	14925 Cordes Lakes Rd	Mayer	AZ	86333	USA	8	150	34.327131, -112.118432	1150	OPEN	2014-10-14	gmap | forum | tesla
Lafayette, IN	4901 Indiana 26	Lafayette	IN	47905	USA	8	150	40.416187, -86.814084	202	OPEN	2014-10-10	gmap | forum | tesla
Casa Grande, AZ	2453 E Florence Blvd	Casa Grande	AZ	85194	USA	6	150	32.87888, -111.6817421	435	OPEN	2014-09-30	gmap | forum | tesla
Indio, CA	42100 Jackson St	Indio	CA	92203	USA	8	150	33.741484, -116.215019	-3	OPEN	2014-09-26	gmap | forum | tesla
Brandon, FL	2400 W Brandon Blvd	Brandon	FL	33511	USA	8	150	27.9408309, -82.3236485	12	OPEN	2014-09-25	gmap | forum | tesla
Oxnard, CA	2751 Park View Ct	Oxnard	CA	93036	USA	20	150	34.238654, -119.177398	24	OPEN	2014-09-24	gmap | forum | tesla
Grand Ave (SC), Chicago, IL	1053 W Grand Ave	Chicago	IL	60642	USA	2	120	41.890732, -87.654125	181	OPEN	2014-09-09	gmap | forum | tesla
Chattanooga, TN	1001 Airport Rd	Chattanooga	TN	37421	USA	6	150	35.038644, -85.19593	204	OPEN	2014-09-04	gmap | forum | tesla
Truckee - Donner Pass, CA	11290 Donner Pass Rd	Truckee	CA	96161	USA	11	150	39.327507, -120.207373	1967	OPEN	2014-08-26	gmap | forum | tesla
Edison, NJ	199 Lafayette Ave	Edison	NJ	08837	USA	8		40.5448144, -74.333248	30	OPEN	2014-08-22	gmap | forum | tesla
Lake City, FL	2893 W US Highway 90	Lake City	FL	32055	USA	6	150	30.181429, -82.679701	46	OPEN	2014-08-20	gmap | forum | tesla
St. George, UT	1091 N Bluff St	St. George	UT	84770	USA	8	150	37.12645, -113.601865	887	OPEN	2014-08-14	gmap | forum | tesla
South Hill, VA	1791 N Mecklenburg Ave	South Hill	VA	23970	USA	6	150	36.748445, -78.103764	125	OPEN	2014-08-07	gmap | forum | tesla
The Dalles, OR	2114 W 6th	The Dalles	OR	97058	USA	5	150	45.611964, -121.208526	45	OPEN	2014-08-01	gmap | forum | tesla
Billings, MT	1801 Majestic LN	Billings	MT	59102	USA	4	150	45.733716, -108.604573	978	OPEN	2014-07-23	gmap | forum | tesla
Wickenburg, AZ	155 N Tegner St	Wickenburg	AZ	85390	USA	8	150	33.9702333, -112.73165	628	OPEN	2014-07-11	gmap | forum | tesla
Tifton, GA	1310 U.S. 82	Tifton	GA	31794	USA	8	150	31.448847, -83.53221	92	OPEN	2014-07-10	gmap | forum | tesla
Salina, KS	755 W Diamond Dr	Salina	KS	67401	USA	6	150	38.877342, -97.618699	371	OPEN	2014-07-04	gmap | forum | tesla
Limon, CO	2221 6th St	Limon	CO	80828	USA	6	150	39.2688421, -103.708604	1652	OPEN	2014-06-21	gmap | forum | tesla
Goodland, KS	2631 Enterprise Rd	Goodland	KS	67735	USA	6	150	39.326253, -101.725171	1129	OPEN	2014-06-13	gmap | forum | tesla
Hays, KS	4101 Vine St	Hays	KS	67601	USA	6	150	38.900543, -99.319142	626	OPEN	2014-06-12	gmap | forum | tesla
Nephi, UT	2100 S Main St	Nephi	UT	84648	USA	6	150	39.6783968, -111.8407035	1555	OPEN	2014-06-11	gmap | forum | tesla
Ritzville, WA	105 Galbreath Way	Ritzville	WA	99169	USA	4	150	47.116294, -118.368328	570	OPEN	2014-05-18	gmap | forum | tesla
Gila Bend, AZ	826 W Pima St	Gila Bend	AZ	85337	USA	8	150	32.943969, -112.733506	221	OPEN	2014-05-17	gmap | forum | tesla
Macon, GA	450 Martin Luther King Jr Blvd	Macon	GA	31201	USA	8	150	32.8334275, -83.6255567	98	OPEN	2014-05-08	gmap | forum | tesla
Triadelphia, WV	35 Bob Wise Dr	Triadelphia	WV	26059	USA	4		40.060757, -80.602874	397	OPEN	2014-05-07	gmap | forum | tesla
San Juan Capistrano, CA	31971 Camino Capistrano	San Juan Capistrano	CA	92675	USA	7		33.498458, -117.6632	30	OPEN	2014-05-06	gmap | forum | tesla
