Supercharger	Street Address	City	State	Zip	Country	Stalls	kW	GPS	Elev(m)	Status	Open Date	Links
Lusk, WY	730 S Main St	Lusk	WY	82225	USA	4		42.75625, -104.45267	1529	OPEN	2013-12-19	gmap | forum | tesla
Vacaville, CA	321 Nut Tree RD	Vacaville	CA	95687	USA	16	150	38.366645, -121.958136	34	OPEN	2013-12-19	gmap | forum | tesla
Mitchell, SD	1305 W Havens St	Mitchell	SD	57301	USA	6	120	43.701129, -98.04449999999997	410	OPEN	2013-12-18	gmap | forum | tesla
Worthington, MN	1290 Ryan's Rd	Worthington	MN	56187	USA	6	120	43.63385, -95.595647	478	OPEN	2013-12-11	gmap | forum | tesla
Mishawaka, IN	6501 Grape Rd	Mishawaka	IN	46545	USA	6	120	41.7174, -86.1887	234	OPEN	2013-12-11	gmap | forum | tesla
Angola, IN	3855 Indiana Rte 127	Angola	IN	46703	USA	6	120	41.699048, -85.000326	329	OPEN	2013-12-09	gmap | forum | tesla
Mauston, WI	640 Mc Evoy St	Mauston	WI	53948	USA	6	125	43.795551, -90.059358	265	OPEN	2013-12-09	gmap | forum | tesla
St. Joseph, MI	3260 Niles Rd	St. Joseph	MI	49085	USA	8	120	42.056357, -86.456352	210	OPEN	2013-11-26	gmap | forum | tesla
Rapid City, SD	2200 N Maple Ave	Rapid City	SD	57701	USA	4		44.105601, -103.212569	1006	OPEN	2013-11-25	gmap | forum | tesla
Huntsville, TX	148 Interstate 45	Huntsville	TX	77340	USA	6	150	30.716158, -95.565944	123	OPEN	2013-11-20	gmap | forum | tesla
Corsicana, TX	2035 Interstate 45 Frontage Rd	Corsicana	TX	75109	USA	10	150	32.068577, -96.448229	132	OPEN	2013-11-15	gmap | forum | tesla
Quartzsite, AZ	1451 W Main St	Quartzsite	AZ	85346	USA	36	250	33.661314, -114.242174	280	OPEN	2013-11-14	gmap | forum | tesla
Rocky Mount, NC	651 N Winstead Ave	Rocky Mount	NC	27804	USA	8	120	35.972874, -77.84687	40	OPEN	2013-11-08	gmap | forum | tesla
Springfield, OR	919 Kruse Way	Springfield	OR	97477	USA	14	150	44.082605, -123.037471	133	OPEN	2013-11-02	gmap | forum | tesla
Glen Allen, VA	9860 Brook Rd	Glen Allen	VA	23059	USA	20	150	37.669832, -77.461419	49	OPEN	2013-10-24	gmap | forum | tesla
Mt. Shasta, CA	111 Morgan Way	Mt. Shasta	CA	96067	USA	4		41.310233, -122.317278	1066	OPEN	2013-10-23	gmap | forum | tesla
Grants Pass, OR	1900 NW 6th St	Grants Pass	OR	97526	USA	8	150	42.460883, -123.324124	335	OPEN	2013-10-22	gmap | forum | tesla
Corning, CA	950 Hwy 99	Corning	CA	96021	USA	6	150	39.926454, -122.198393	87	OPEN	2013-10-18	gmap | forum | tesla
Burlington, NC	1080 Piper Ln	Burlington	NC	27215	USA	8	120	36.07079, -79.511211	197	OPEN	2013-10-16	gmap | forum | tesla
Columbus, TX	2535 Texas 71	Columbus	TX	78934	USA	6	120	29.690062, -96.537725	57	OPEN	2013-10-07	gmap | forum | tesla
Silverthorne, CO	309 Rainbow Dr	Silverthorne	CO	80498	USA	12	150	39.631457, -106.070816	2670	OPEN	2013-10-03	gmap | forum | tesla
Glenwood Springs, CO	125 Wulfsohn Rd	Glenwood Springs	CO	81601	USA	6	150	39.55268, -107.340168	1762	OPEN	2013-09-17	gmap | forum | tesla
Port Orange, FL	5302 S Williamson Blvd	Port Orange	FL	32128	USA	6		29.108566, -81.034569	7	OPEN	2013-09-13	gmap | forum | tesla
Rockford, IL	7200 Harrison Ave	Rockford	IL	61112	USA	8	150	42.243896, -88.978877	238	OPEN	2013-09-12	gmap | forum | tesla
Waco, TX	701 Interstate 35	Bellmead	TX	76705	USA	22	250	31.58224, -97.10915	124	OPEN	2013-09-07	gmap | forum | tesla
Woodburn, OR	255 N Arney Rd	Woodburn	OR	97071	USA	8	150	45.15313, -122.881254	56	OPEN	2013-08-28	gmap | forum | tesla
San Marcos, TX	3939 Interstate 35	San Marcos	TX	78666	USA	12	150	29.827692, -97.979677	202	OPEN	2013-08-17	gmap | forum | tesla
Fremont, CA	45500 Fremont Blvd	Fremont	CA	94538	USA	12	250	37.492754, -121.944796	7	OPEN	2013-08-16	gmap | forum | tesla
Fort Myers, FL	9903 Gulf Coast Main St	Fort Myers	FL	33913	USA	8		26.48564, -81.787136	6	OPEN	2013-07-25	gmap | forum | tesla
Port St. Lucie, FL	1701 NW Peacock Blvd	Port St. Lucie	FL	34986	USA	8		27.313023, -80.406688	8	OPEN	2013-07-24	gmap | forum | tesla
Centralia, WA	1200 Lum Rd	Centralia	WA	98531	USA	20	150	46.729732, -122.977454	56	OPEN	2013-07-17	gmap | forum | tesla
Buellton, CA	555 McMurray Rd	Buellton	CA	93427	USA	10	150	34.61456, -120.188387	114	OPEN	2013-07-13	gmap | forum | tesla
Burlington, WA	9384 Old Highway 99	Burlington	WA	98233	USA	8	150	48.509772, -122.338625	7	OPEN	2013-07-13	gmap | forum | tesla
Atascadero, CA	6950 El Camino Real	Atascadero	CA	93422	USA	8		35.48656, -120.66633	262	OPEN	2013-07-03	gmap | forum | tesla
Normal, IL	Uptown Station Parking Deck 11 Uptown Circle	Normal	IL	61761	USA	8	150	40.508497, -88.985575	236	OPEN	2013-06-26	gmap | forum | tesla
Darien, CT (north)	I-95 North after exit 12	Darien	CT	06820	USA	14	250	41.080321, -73.461365	17	OPEN	2013-06-19	gmap | forum | tesla
Darien, CT (south)	I-95 South after exit 10	Darien	CT	06820	USA	16	250	41.067299, -73.504926	18	OPEN	2013-06-19	gmap | forum | tesla
Newark, DE	530 JFK Memorial Hwy	Newark	DE	19725	USA	12		39.6635, -75.69017	18	OPEN	2012-12-21	gmap | forum | tesla
Milford, CT (north)	1 CT Turnpike N	Milford	CT	06460	USA	2		41.245814, -73.008988	19	OPEN	2012-12-16	gmap | forum | tesla
Milford, CT (south)	1 CT Turnpike S	Milford	CT	06460	USA	2		41.246232, -73.010529	19	OPEN	2012-12-16	gmap | forum | tesla
Hawthorne, CA	1 Rocket Rd	Hawthorne	CA	90250	USA	12	250	33.921068, -118.330054	18	OPEN	2012-11-19	gmap | forum | tesla
Barstow, CA	2812 Lenwood Rd	Barstow	CA	92311	USA	16	150	34.849129, -117.085446	725	OPEN	2012-11-19	gmap | forum | tesla
Folsom - Iron Point Road, CA	13000 Folsom Blvd	Folsom	CA	95630	USA	4		38.64258, -121.18806	63	OPEN	2012-11-19	gmap | forum | tesla
Gilroy, CA	681 Leavesley Rd	Gilroy	CA	95020	USA	16	150	37.02493, -121.56542	63	OPEN	2012-11-19	gmap | forum | tesla
Harris Ranch, CA	24505 W Dorris Ave	Coalinga	CA	93210	USA	18	150	36.25415, -120.237896	139	OPEN	2012-11-19	gmap | forum | tesla
Tejon Ranch, CA	5602 Dennis McCarthy Dr	Lebec	CA	93243	USA	24	150	34.98734, -118.94623	337	OPEN	2012-11-19	gmap | forum | tesla
Highland Park (SC), IL	1200 Old Skokie Road	Highland Park	IL	60035	USA	4		42.17434, -87.816626	195	CLOSED_PERM		gmap | forum | tesla
Riviera Beach, FL	4651 Dyer Blvd	Riviera Beach	FL	33407	USA	8		26.7781155, -80.1091072	4	CLOSED_PERM		gmap | forum | tesla
Fremont - Factory #2, CA	45500 Fremont Blvd	Fremont	CA	94538	USA	40		37.492162, -121.946186	6	PERMIT		gmap | forum
Warsaw, NC	2676 W Nc 24 Hwy	Warsaw	NC	28398	USA	6	150	34.994272, -78.136679	47	CLOSED_PERM		gmap | forum | tesla
Santa Barbara, CA	3943 State St	Santa Barbara	CA	93105	USA	8		34.440227, -119.753359	61	PERMIT		gmap | forum | tesla
National Harbor - National Plaza, MD	120 Waterfront Street	Oxon Hill	MD	20745	USA	12	120	38.785823, -77.015745	8	CLOSED_PERM		gmap | forum | tesla
Turlock, CA	3000 Countryside Dr	Turlock	CA	95380	USA	8		37.520397, -120.879689	32	PERMIT		gmap | forum | tesla
Windsor, CA	8852 Lakewood Dr	Windsor	CA	95492	USA	12		38.549856, -122.805465	39	CONSTRUCTION		gmap | forum | tesla
Old Lyme, CT	90 Halls Rd	Old Lyme	CT	06371	USA	8		41.322754, -72.337523	9	PERMIT		gmap | forum
Seekonk, MA	101 Commerce Way	Seekonk	MA	02771	USA	12		41.793749, -71.323876	14	PERMIT		gmap | forum | tesla
Woburn - Commerce Way, MA	101 Commerce Way	Woburn	MA	01801	USA	12	250	42.518374, -71.135476	23	PERMIT		gmap | forum | tesla
Montecito, CA	1595 S Jameson Ln	Santa Barbara	CA	93108	USA	8		34.420561, -119.627239	3	PERMIT		gmap | forum | tesla
Bethesda - Montgomery Mall East, MD	7101 Democracy Blvd	Bethesda	MD	20817	USA	12		39.023881, -77.143782	93	PERMIT		gmap | forum
Bethesda - Montgomery Mall West, MD	7101 Democracy Blvd	Bethesda	MD	20817	USA	12		39.025087, -77.148335	94	PERMIT		gmap | forum
Huntington Beach, CA	7777 Edinger Ave	Huntington Beach	CA	92647	USA	12		33.733239, -117.99457	8	PERMIT		gmap | forum
Pembina, ND	700 W Stutsman St	Pembina	ND	58271	USA	8		48.970083, -97.253921	241	PERMIT		gmap | forum | tesla
Central Santa Monica, CA	1401 Santa Monica Blvd	Santa Monica	CA	90404	USA	62	250	34.024585, -118.485771	41	PERMIT		gmap | forum
Bellevue (SC), WA	14408 NE 20th St	Bellevue	WA	98007	USA	2	72	47.629447, -122.148203	75	CLOSED_PERM		gmap | forum | tesla
Fort Worth - Monahans Ave, TX	5128 Monahans Ave	Fort Worth	TX	76109	USA	10		32.710767, -97.399506	179	PERMIT		gmap | forum
Beverly, MA	55 Dodge St	Beverly	MA	01915	USA	10		42.576861, -70.89	14	CLOSED_PERM		gmap | forum | tesla
Escanaba, MI	505 N 26th St	Escanaba	MI	49829	USA	10		45.750735, -87.087484	194	PERMIT		gmap | forum | tesla
Sault Ste. Marie, MI	1138 W. 3 Mile Rd	Sault Ste. Marie	MI	49783	USA	8		46.463553, -84.386795	222	PERMIT		gmap | forum | tesla
San Jose (South), CA	5630 Cottle Rd	San Jose	CA	95123	USA	14		37.250017, -121.802656	57	PERMIT		gmap | forum | tesla
Portage, MI	5121 S Westnedge Ave	Portage	MI	49002	USA	8	250	42.242426438302516, -85.58839380741	262	PERMIT		gmap | forum
Mount Pleasant, IA	1700 E Washington St	Mount Pleasant	IA	52641	USA	8		40.9615205, -91.5284488	219	PERMIT		gmap | forum
Millersville, MD	8300 Veterans Hwy	Millersville	MD	21108	USA	8	250	39.110684, -76.631323	30	PERMIT		gmap | forum | tesla
Collinsville, IL	217 N Bluff Rd	Collinsville	IL	62234	USA	8	250	38.67344, -90.013486	133	CONSTRUCTION		gmap | forum | tesla
Cherry Hill (Southbound), NJ	Walt Whitman Service Area	Cherry Hill	NJ	08034	USA	8	250	39.885339, -75.002825	20	CONSTRUCTION		gmap | forum
Mount Laurel (Northbound), NJ	James Fenimore Cooper Service Area	Mount Laurel	NJ	08054	USA	8	250	39.980902, -74.888113	14	PERMIT		gmap | forum
Visalia, CA	6610 Betty Dr	Visalia	CA	93291	USA	24		36.353167, -119.426384	86	PERMIT		gmap | forum | tesla
Hudson, WI	2351 Coulee Rd	Hudson	WI	54016	USA	8		44.964463, -92.725435	259	CLOSED_PERM		gmap | forum
Adelanto, CA	12059 Cactus Rd	Adelanto	CA	92301	USA	16		34.535312, -117.400374	918	PERMIT		gmap | forum | tesla
North Wales, PA	593 DeKalb Pike	North Wales	PA	19454	USA	8	250	40.219368, -75.247004	142	PERMIT		gmap | forum
Shelby, MT	441 11th Ave N	Shelby	MT	59474	USA	8	250	48.511406, -111.86951	1005	PERMIT		gmap | forum | tesla
Kalispell, MT	55N 1st Ave E N	Kalispell	MT	59901	USA	8	250	48.20141, -114.312037	902	PERMIT		gmap | forum | tesla
Denver - University Hills, CO	2780 S Colorado Blvd	Denver	CO	80222	USA	16		39.666202, -104.936889	1652	PERMIT		gmap | forum
Sealy, TX	6701 US Hwy 90	Sealy	TX	77474	USA	8		29.742861, -96.331043	73	PERMIT		gmap | forum
Veedersburg, IN	1020 E Second St	Veedersburg	IN	47987	USA	8		40.11273, -87.248021	189	PERMIT		gmap | forum | tesla
Marquette, MI	3630 US-41	Marquette	MI	49855	USA	4	250	46.551944, -87.470222	305	CONSTRUCTION		gmap | forum | tesla
Highland Park, IL	2099 Skokie Valley Rd	Highland Park	IL	60035	USA	12	250	42.191936, -87.826741	195	PERMIT		gmap | forum | tesla
Fresno - River Park, CA	7965 N Blackstone Ave	Fresno	CA	93720	USA	8		36.85085698, -119.79142427	108	PERMIT		gmap | forum
Pembroke, MA	146 Church St	Pembroke	MA	02359	USA	8	250	42.10853, -70.770428	27	PERMIT		gmap | forum
Miami Beach - Convention Center, FL	500 17th St	Miami Beach	FL	33139	USA	10	72	25.79169, -80.134014	1	CONSTRUCTION		gmap | forum
Miami Beach - West Avenue, FL	959 West Ave	Miami Beach	FL	33139	USA	18	72	25.780227, -80.141787	1	CONSTRUCTION		gmap | forum
Burns, OR	627 Hwy 20 N	Hines	OR	97738	USA	8	250	43.572694, -119.074556	1267	CONSTRUCTION		gmap | forum | tesla
Hamilton Twp (Northbound), NJ	Woodrow Wilson Service Area	Hamilton Township	NJ	08620	USA	8	250	40.175932, -74.630183	29	CONSTRUCTION		gmap | forum
Grand Forks, ND	3601 32nd Ave S	Grand Forks	ND	58201	USA	6	150	47.887974, -97.080763	254	PERMIT		gmap | forum | tesla
Venice, FL	370 Commercial Ct	Venice	FL	34292	USA	8	250	27.107859, -82.385275	4	PERMIT		gmap | forum | tesla
Gloucester, MA	231 Gloucester Crossing	Gloucester	MA	01930	USA	8	250	42.623417, -70.6545	43	PERMIT		gmap | forum | tesla
Marina Del Rey, CA	13534 Bali Way	Marina Del Rey	CA	90292	USA	8	250	33.980756, -118.444472	4	PERMIT		gmap | forum | tesla
Elverson, PA	1 Marsh Rd	Elverson	PA	19520	USA	8	250	40.121588, -75.775761	170	CONSTRUCTION		gmap | forum | tesla
Hamilton Twp (Southbound), NJ	Richard Stockton Service Area	Trenton	NJ	08691	USA	8	250	40.176935, -74.631786	29	CONSTRUCTION		gmap | forum
Georgetown, TX	1013 W University Ave	Georgetown	TX	78628	USA	16	250	30.632093, -97.694003	244	PERMIT		gmap | forum
Olema, CA	10005 Coastal Hwy	Olema	CA	94950	USA	7	150	38.040224, -122.788345	18	PERMIT		gmap | forum
Davenport, FL	8103 Lake Wilson Rd	Davenport	FL	33896	USA	12	250	28.258509, -81.590088	41	CONSTRUCTION		gmap | forum | tesla
San Diego - Liberty Station, CA	Truxtun Rd	San Diego	CA	92106	USA	8		32.737743, -117.217061	6	PERMIT		gmap | forum
Placerville - Missouri Flat Rd, CA	3968 Missouri Flat Rd	Placerville	CA	95667	USA	8	250	38.709815, -120.842293	528	CONSTRUCTION		gmap | forum | tesla
Lake Arrowhead, CA	28200 State Hwy 189	Lake Arrowhead	CA	92532	USA	8	250	34.250676, -117.189756	1577	PERMIT		gmap | forum
Flemington, NJ	20 NJ-31	Flemington	NJ	08822	USA	8	250	40.505245, -74.851828	48	CONSTRUCTION		gmap | forum | tesla
Lana'i City, HI	1001 Fraser Av	Lana'i City	HI	96763	USA	4		20.820569, -156.919888	472	CONSTRUCTION		gmap | forum
Jacksonville - Philips Hwy, FL	5735 Philips Hwy	Jacksonville	FL	32216	USA	12	250	30.265516, -81.617034	7	CONSTRUCTION		gmap | forum
Crystal River, FL	509 US-19	Crystal River	FL	34429	USA	8	250	28.899556, -82.586778	3	CONSTRUCTION		gmap | forum | tesla
Salem, VA	1340 West Main St	Salem	VA	24153	USA	8	150	37.289384, -80.079866	317	CLOSED_TEMP		gmap | forum | tesla
Dublin - Fallon Gateway, CA	2800 Dublin Blvd	Dublin	CA	94568	USA	14		37.703993, -121.852249	109	CONSTRUCTION		gmap | forum | tesla
San Francisco - 16th St, CA	2300 16th St	San Francisco	CA	94103	USA	12	72	37.766033, -122.408981	20	PERMIT		gmap | forum
Canoe Creek, FL	Mile Post 229 Florida Turnpike	Canoe Creek	FL	34760	USA	16	250	28.094603, -81.27413	25	PERMIT		gmap | forum | tesla
North Naples, FL	2415 Tarpon Bay Blvd	Naples	FL	34119	USA	8	250	26.271106, -81.739504	5	PERMIT		gmap | forum | tesla
San Fernando, CA	1011 Pico St	San Fernando	CA	91340	USA	12	250	34.281483, -118.44167	323	CONSTRUCTION		gmap | forum
Los Angeles - 668 S Alameda St, CA	668 S Alameda St	Los Angeles	CA	90021	USA	8	250	34.03575, -118.238039	76	PERMIT		gmap | forum
Pasadena - Arroyo Pkwy, CA	Cnr Glenarm St and Arroyo Pkwy	Pasadena	CA	91106	USA	20	250	34.12699, -118.147727	230	PERMIT		gmap | forum
Bell, CA	4410 Gage Ave	Bell	CA	90201	USA	8	250	33.977915, -118.188681	44	CONSTRUCTION		gmap | forum | tesla
Watertown, SD	1320 9th Ave SE	Watertown	SD	57201	USA	8	250	44.889, -97.093	524	PERMIT		gmap | forum | tesla
San Ysidro, CA	4211 Camino De La Plaza	San Ysidro	CA	92173	USA	20	250	32.54462, -117.042305	16	PERMIT		gmap | forum | tesla
Charlottesville - Proffit Road, VA	3267 Proffit Rd	Charlottesville	VA	22911	USA	8	250	38.132266, -78.434391	164	CONSTRUCTION		gmap | forum | tesla
Hamburg, PA	515 Lowland Rd	Hamburg	PA	19526	USA	8		40.564579, -76.008181	154	PERMIT		gmap | forum | tesla
Stoughton, MA	1 Hawes Way	Stoughton	MA	02072	USA	12	250	42.152917, -71.073528	71	PERMIT		gmap | forum | tesla
Bear, DE	1100 Pulaski Hwy	Bear	DE	19701	USA	8	250	39.632175, -75.660374	22	PERMIT		gmap | forum
Orlando - W Robinson St, FL	W Robinson St	Orlando	FL	32801	USA	16		28.545986, -81.381115	33	PERMIT		gmap | forum
West Madison, WI	675 S Whitney Way	Madison	WI	53719	USA	8	250	43.050266, -89.472382	307	PERMIT		gmap | forum
Louisville - Preston Hwy, KY	9500 Preston Hwy	Louisville	KY	40229	USA	12	250	38.112105, -85.677437	157	PERMIT		gmap | forum
Port St. Lucie - Ft. Pierce, FL	Mile Marker, 144 Florida's Turnpike	Port St. Lucie	FL	34984	USA	8	250	27.302193, -80.372843	10	CONSTRUCTION		gmap | forum
Asheville - South Tunnel Rd, NC	4 S Tunnel Rd	Asheville	NC	28805	USA	8	250	35.584234, -82.523932	636	CONSTRUCTION		gmap | forum | tesla
Phillipsburg, NJ	1300 Rt 22	Phillipsburg	NJ	08865	USA	8		40.675218, -75.141538	111	PERMIT		gmap | forum | tesla
Yreka, CA	1808 Fort Jones Rd	Yreka	CA	96097	USA	12	250	41.701865, -122.644518	831	PERMIT		gmap | forum | tesla
San Ramon - Gateway Center, CA	21001 San Ramon Valley Blvd	San Ramon	CA	94583	USA	16	250	37.723701, -121.943609	134	PERMIT		gmap | forum
Evanston, IL	1800 Maple Ave	Evanston	IL	60201	USA	12	250	42.050353, -87.685491	184	PERMIT		gmap | forum | tesla
Hammonton, NJ	Atlantic City Expressway Mile Marker 20	Hammonton	NJ	08037	USA	8	250	39.550487, -74.735734	25	PERMIT		gmap | forum
Houston - The Galleria, TX	5135 1/2 W. Alabama St	Houston	TX	77056	USA	12		29.738235, -95.464147	18	PERMIT		gmap | forum
Brea, CA	175 S Madrona Ave	Brea	CA	92821	USA	24	250	33.919492, -117.902014	109	PERMIT		gmap | forum
Inyokern 2, CA	6525 Inyokern Rd	Inyokern	CA	93527	USA	12	250	35.646509, -117.81326	744	PERMIT		gmap | forum
California, MD	44900 St Andrews Church Rd	California	MD	20619	USA	8	250	38.302946, -76.522367	37	CONSTRUCTION		gmap | forum | tesla
Fort Bragg, CA	101 Boatyard Dr	Fort Bragg	CA	95437	USA	12	250	39.421063, -123.807299	32	CONSTRUCTION		gmap | forum | tesla
Norfolk - N Military Hwy, VA	6301 N Military Hwy	Norfolk	VA	23518	USA	8		36.897383, -76.226511	5	PERMIT		gmap | forum | tesla
Stockton - Auto Center Circle, CA	3131 Auto Center Cir	Stockton	CA	95212	USA	12		38.01908, -121.276399	9	PERMIT		gmap | forum
Del Rey (LA), CA	4755 Alla Rd	Marina Del Rey	CA	20292	USA	8		33.982922, -118.430514	6	PERMIT		gmap | forum
Sacramento - Golden 1 Center, CA	500 David J Stern Walk	Sacramento	CA	95814	USA	20		38.580186, -121.499476	9	PERMIT		gmap | forum
Los Angeles - Promenade at Howard Hughes Center, CA	6081 W Center Dr	Los Angeles	CA	90045	USA	16	250	33.978128, -118.392062	17	PERMIT		gmap | forum
Redding, CA	4631 Churn Creek Rd	Redding	CA	96002	USA	12		40.541255, -122.349972	158	PERMIT		gmap | forum | tesla
Orlando - Millenia, FL	4750 Millenia Plaza Way	Orlando	FL	32839	USA	12	250	28.493424, -81.429358	31	PERMIT		gmap | forum
Metairie, LA	211 Veterans Memorial Blvd	Metairie	LA	70005	USA	12	250	30.001011, -90.125055	0	PERMIT		gmap | forum | tesla
Charlotte - Northlake, NC	9717 Northlake Centre Pkwy F	North Charlotte	NC	28216	USA	12	250	35.34726, -80.85921	227	CONSTRUCTION		gmap | forum
Burlington, MA	75 Middlesex Turnpike	Burlington	MA	01803	USA	12	250	42.4836, -71.2164	42	PERMIT		gmap | forum | tesla
Brewster, NY	1 Starr Ridge Rd	Brewster	NY	10509	USA	8	250	41.392672, -73.596172	138	PERMIT		gmap | forum
Westampton, NJ	570 Rancocas Rd	Westampton	NJ	08060	USA	8		40.007052, -74.86111	20	PERMIT		gmap | forum
Eastvale, CA	12571 Limonite Ave	Eastvale	CA	91752	USA	16		33.976911, -117.55442	203	PERMIT		gmap | forum | tesla
San Luis Obispo - Los Osos Valley Rd, CA	11990 Los Osos Valley Rd	San Luis Obispo	CA	93405	USA	16	250	35.251622, -120.685952	38	CONSTRUCTION		gmap | forum
Newark - Cedar Blvd, CA	39962 Cedar Blvd	Newark	CA	94560	USA	16		37.5193205, -121.9924736	9	CLOSED_PERM		gmap | forum
Newton, MA	6 MA-128	Newton	MA	02462	USA	8	250	42.330663, -71.255062	24	PERMIT		gmap | forum | tesla
Sterling, VA	23055 Oakgrove Rd	Sterling	VA	20166	USA	8	250	38.977853, -77.41201	110	CONSTRUCTION		gmap | forum | tesla
Lexington, MA	690 Marrett Rd	Lexington	MA	02421	USA	8	250	42.439714, -71.257795	58	PERMIT		gmap | forum | tesla
South Philadelphia West, PA	2600 Penrose Ferry	Philadelphia	PA	19145	USA	12	250	39.905116, -75.19437	3	CONSTRUCTION		gmap | forum | tesla
Charlton - Westbound, MA	6 Massachusetts Turnpike	Charlton	MA	01507	USA	8	250	42.156788, -71.962909	262	CONSTRUCTION		gmap | forum | tesla
Stafford, VA	105 Garrisonville Rd	Stafford	VA	22554	USA	8	250	38.467411, -77.412069	57	CONSTRUCTION		gmap | forum | tesla
Hayward - Mission Blvd, CA	26905 Mission Blvd	Hayward	CA	94544	USA	12	250	37.644903, -122.063057	24	PERMIT		gmap | forum
Douglasville, GA	2950 Chapel Hill Rd	Douglasville	GA	30135	USA	12	250	33.726741, -84.735242	339	CONSTRUCTION		gmap | forum | tesla
San Bruno, CA	2801 San Bruno Ave W	San Bruno	CA	94066	USA	12	250	37.618905, -122.440524	144	CONSTRUCTION		gmap | forum
Chicago - N Elston Ave, IL	2656 N Elston Ave	Chicago	IL	60647	USA	12	250	41.928, -87.685478	182	PERMIT		gmap | forum | tesla
Bowie, MD	10400 Martin Luther King Hwy	Bowie	MD	20720	USA	8	250	38.956171, -76.826008	42	PERMIT		gmap | forum | tesla
Haubstadt, IN	19920 Ruffian Way	Haubstadt	IN	47639	USA	8	250	38.160227, -87.551743	136	PERMIT		gmap | forum | tesla
Denver, PA	Pennsylvania Turnpike, Exit 286 Eastbound, Milepost 289.9	Bowmansville	PA	17507	USA	8	250	40.202902, -76.015953	146	CONSTRUCTION		gmap | forum | tesla
Monument, CO	17970 Knollwood Dr	Monument	CO	80132	USA	8	250	39.092296, -104.852544	2154	CONSTRUCTION		gmap | forum | tesla
Bridgewater, NJ	580 Union Ave	Bridgewater Township	NJ	08807	USA	8	250	40.56757, -74.563865	19	PERMIT		gmap | forum | tesla
Wildwood, FL	299 FL-91	Wildwood	FL	34785	USA	8	250	28.787015, -81.982383	29	PERMIT		gmap | forum | tesla
Urbana, MD	9180 Fingerboard Rd	Urbana	MD	21704	USA	8	250	39.327271, -77.34652	142	PERMIT		gmap | forum | tesla
Edgewater, MD	3166 Solomons Island Rd	Edgewater	MD	21037	USA	8	250	38.936193, -76.56776	12	CONSTRUCTION		gmap | forum | tesla
San Francisco - Geary Blvd, CA	2675 Geary Blvd	San Francisco	CA	94118	USA	34	250	37.781806, -122.446146	94	CONSTRUCTION		gmap | forum
Albert Lea, MN	811 East Plaza St	Albert Lea	MN	56007	USA	4		43.68606, -93.357721	383	CLOSED_PERM		gmap | forum | tesla
Virginia Beach, VA	2501 Virginia Beach Blvd	Virginia Beach	VA	23452	USA	8	250	36.840677, -76.055615	4	CONSTRUCTION		gmap | forum | tesla
Silverthorne - Ruby Ranch Rd, CO	101 Ruby Ranch Rd	Silverthorne	CO	80498	USA	8	250	39.645998, -106.079617	2654	PERMIT		gmap | forum
Cherry Hill, NJ	904 Haddonfield Rd	Cherry Hill	NJ	08002	USA	8	250	39.925692, -75.032612	9	CONSTRUCTION		gmap | forum | tesla
San Jose - Westfield Oakridge, CA	925 Blossom Hill Rd	San Jose	CA	95123	USA	24	250	37.250854, -121.860731	55	CONSTRUCTION		gmap | forum
Soldotna, AK	43540 Whistle Hill Loop	Soldotna	AK	99669	USA	4	250	60.494628, -151.045047	61	PERMIT		gmap | forum | tesla
Los Angeles - Venice Crossroads, CA	8985 Venice Blvd	Los Angeles	CA	90034	USA	44	250	34.027942, -118.393968	35	PERMIT		gmap | forum
Madison - E Main St, WI	722 East Main St	Madison	WI	53703	USA	8	250	43.080622, -89.375068	259	PERMIT		gmap | forum
Mira Mesa, CA	8251 Mira Mesa Blvd	San Diego	CA	92126	USA	16	250	32.911707, -117.145653	130	CONSTRUCTION		gmap | forum | tesla
Jim Thorpe (northbound), PA	Pennsylvania Turnpike Milepost 86.1	Jim Thorpe	PA	18229	USA	8	250	40.971484, -75.63068	497	CONSTRUCTION		gmap | forum | tesla
Jim Thorpe (southbound), PA	Pennsylvania Turnpike Milepost 86.1	Jim Thorpe	PA	18229	USA	8	250	40.969331, -75.631379	497	CONSTRUCTION		gmap | forum | tesla
Lake Grove, NY	313 Smith Haven Mall	Lake Grove	NY	11755	USA	8	250	40.862578, -73.128749	28	PERMIT		gmap | forum | tesla
Montgomery, AL	2576 Berryhill Rd	Montgomery	AL	36117	USA	8	250	32.361087, -86.161796	74	PERMIT		gmap | forum | tesla
Milwaukee / Menomonee Falls, WI	W124N8145 WI-145	Menomonee Falls	WI	53051	USA	8	250	43.16438, -88.065848	246	PERMIT		gmap | forum | tesla
Harrisonburg, VA	533 University Blvd	Harrisonburg	VA	22801	USA	8	250	38.429826, -78.856029	432	CONSTRUCTION		gmap | forum | tesla
Somerset (eastbound), PA	327 Industrial Park Rd	Somerset	PA	15501	USA	8	250	39.9995422, -79.0474265	708	CONSTRUCTION		gmap | forum
Tustin, CA	15000-15190 Kensington Park Dr	Tustin	CA	92782	USA	8	250	33.7123, -117.8163	15	PERMIT		gmap | forum | tesla
Sioux City, IA	4727 Southern Hills Dr	Sioux City	IA	51106	USA	8	250	42.440787, -96.346112	385	CONSTRUCTION		gmap | forum | tesla
Somerset (westbound), PA	179 N Plaza Access Rd	Somerset	PA	15501	USA	8	250	39.999603, -79.043673	707	CONSTRUCTION		gmap | forum
